date,index_name,index_code,proxy_name,source_type,open,high,low,close,volume,trading_value
2026-07-10,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13800,14685,13745,14420,29742727,
2026-07-13,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14510,15080,13705,13800,48654336,
2026-07-14,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13785,13895,12710,13410,54270287,
2026-07-15,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13870,14405,13845,14345,29735455,
2026-07-16,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,14010,14075,13460,13580,30998916,
2026-07-20,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13240,13500,12570,12610,47425229,
2026-07-21,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,12575,12785,12225,12650,35975233,
2026-07-22,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13040,13360,12525,12525,27290890,
2026-07-23,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,12745,13410,12715,13400,28512130,
2026-07-24,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13085,13120,12470,12510,29374071,
2026-07-27,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,12795,13220,12635,12950,26408413,
2026-07-28,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,12375,12440,11565,11845,36980364,
2026-07-29,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,11985,12110,10430,11125,72213743,
2026-07-30,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,10865,11400,10590,10605,65828695,
2026-07-31,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,11370,12340,11275,12100,50479494,
2026-08-03,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,11725,12880,11675,12470,46237248,
2026-08-04,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,12760,13370,12680,13330,66609737,
2026-08-05,KOSDAQ,229200,KODEX KOSDAQ 150,etf_proxy,13700,13710,13235,13545,30832052,
