stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
089140,2026-08-21,2130.0,-0.0637,-0.1198,-0.0759,2331.0,2269.0,1.594,0.0437,2,price_momentum,pykrx,data/raw/price_089140_20260425_20260823.csv
348370,2026-08-21,17770.0,-0.1598,-0.258,-0.1102,21414.0,20705.0,2.3659,0.0991,2,price_momentum,pykrx,data/raw/price_348370_20260425_20260823.csv
069920,2026-08-21,891.0,-0.0862,0.1278,-0.0409,966.0,1061.65,0.5018,0.1162,1,neutral,pykrx,data/raw/price_069920_20260425_20260823.csv
215570,2026-08-21,696.0,-0.0029,0.0791,-0.1289,687.4,732.4,0.1084,0.0346,1,neutral,pykrx,data/raw/price_215570_20260425_20260823.csv
247660,2026-08-21,2570.0,0.0642,0.0447,-0.0967,2426.0,2684.5,0.3859,0.1125,1,neutral,pykrx,data/raw/price_247660_20260425_20260823.csv
006370,2026-08-21,4700.0,0.0,0.0421,-0.1408,4730.0,4784.25,0.5996,0.0503,1,neutral,pykrx,data/raw/price_006370_20260425_20260823.csv
263750,2026-08-21,32200.0,0.0047,0.0222,-0.0599,31350.0,33375.0,0.8431,0.0456,1,neutral,pykrx,data/raw/price_263750_20260425_20260823.csv
131100,2026-08-21,2280.0,0.0133,0.0133,-0.355,2256.0,2336.0,0.802,0.0681,1,neutral,pykrx,data/raw/price_131100_20260425_20260823.csv
004780,2026-08-21,4010.0,-0.0037,0.0025,0.0139,4034.0,4060.5,0.4842,0.0157,1,neutral,pykrx,data/raw/price_004780_20260425_20260823.csv
403550,2026-08-21,10700.0,-0.0056,0.0,0.1054,10618.0,10330.5,0.8251,0.0246,1,neutral,pykrx,data/raw/price_403550_20260425_20260823.csv
002780,2026-08-21,782.0,0.0,0.0,-0.0381,782.0,780.8,0.0,0.0288,1,neutral,pykrx,data/raw/price_002780_20260425_20260823.csv
019680,2026-08-21,1000.0,0.0,0.0,0.0917,1000.0,979.75,0.0,0.0521,1,neutral,pykrx,data/raw/price_019680_20260425_20260823.csv
199150,2026-08-21,1994.0,0.0226,-0.003,-0.0436,1988.6,1896.0,0.0673,0.0498,1,neutral,pykrx,data/raw/price_199150_20260425_20260823.csv
060230,2026-08-21,1374.0,0.0441,-0.0058,-0.1889,1354.6,1405.5,1.5975,0.0556,1,neutral,pykrx,data/raw/price_060230_20260425_20260823.csv
340360,2026-08-21,916.0,-0.0255,-0.0065,0.0505,936.4,871.45,0.2939,0.0508,1,neutral,pykrx,data/raw/price_340360_20260425_20260823.csv
019570,2026-08-21,2745.0,-0.0196,-0.0072,0.1414,2723.0,2580.5,0.7345,0.0489,1,neutral,pykrx,data/raw/price_019570_20260425_20260823.csv
112610,2026-08-21,46550.0,-0.0382,-0.0075,0.0449,46690.0,42405.0,0.8489,0.044,1,neutral,pykrx,data/raw/price_112610_20260425_20260823.csv
009160,2026-08-21,4875.0,-0.0061,-0.0091,0.045,4911.0,4781.75,1.1858,0.0202,1,neutral,pykrx,data/raw/price_009160_20260425_20260823.csv
294870,2026-08-21,21600.0,-0.0069,-0.0092,0.041,22000.0,21342.0,0.5593,0.0274,1,neutral,pykrx,data/raw/price_294870_20260425_20260823.csv
003490,2026-08-21,25800.0,0.0299,-0.0115,0.0019,25490.0,25995.0,1.5933,0.0246,1,neutral,pykrx,data/raw/price_003490_20260425_20260823.csv
900120,2026-08-21,920.0,0.0055,-0.0118,-0.2123,924.2,921.65,0.7011,0.066,1,neutral,pykrx,data/raw/price_900120_20260425_20260823.csv
033270,2026-08-21,17910.0,-0.0138,-0.0143,0.0287,18148.0,17923.0,0.814,0.0119,1,neutral,pykrx,data/raw/price_033270_20260425_20260823.csv
061040,2026-08-21,6270.0,-0.0016,-0.0172,-0.0203,6298.0,6297.5,0.3525,0.025,1,neutral,pykrx,data/raw/price_061040_20260425_20260823.csv
440110,2026-08-21,61900.0,-0.0607,-0.0175,-0.1601,65100.0,61590.0,0.7393,0.097,1,neutral,pykrx,data/raw/price_440110_20260425_20260823.csv
002420,2026-08-21,5790.0,0.014,-0.0186,0.1029,5754.0,5604.0,0.5761,0.0289,1,neutral,pykrx,data/raw/price_002420_20260425_20260823.csv
080420,2026-08-21,1646.0,0.0037,-0.0202,0.1919,1639.8,1570.15,0.3313,0.0403,1,neutral,pykrx,data/raw/price_080420_20260425_20260823.csv
030610,2026-08-21,10030.0,-0.0309,-0.0224,0.0277,10184.0,9805.0,0.6726,0.0372,1,neutral,pykrx,data/raw/price_030610_20260425_20260823.csv
055550,2026-08-21,104100.0,0.0297,-0.0235,0.0029,104820.0,104075.0,0.9558,0.0231,1,neutral,pykrx,data/raw/price_055550_20260425_20260823.csv
018700,2026-08-21,1476.0,-0.0027,-0.0238,-0.034,1482.8,1460.05,0.2003,0.057,1,neutral,pykrx,data/raw/price_018700_20260425_20260823.csv
006220,2026-08-21,9020.0,-0.0153,-0.0259,-0.0555,9146.0,9079.0,0.9511,0.0285,1,neutral,pykrx,data/raw/price_006220_20260425_20260823.csv
005960,2026-08-21,7430.0,-0.0211,-0.0262,0.104,7816.0,6982.5,1.2335,0.0399,1,neutral,pykrx,data/raw/price_005960_20260425_20260823.csv
445090,2026-08-21,20400.0,-0.0599,-0.0263,0.0149,22290.0,19342.0,0.4029,0.0773,1,neutral,pykrx,data/raw/price_445090_20260425_20260823.csv
003470,2026-08-21,4545.0,-0.0066,-0.0288,-0.0033,4571.0,4475.75,0.9002,0.0382,1,neutral,pykrx,data/raw/price_003470_20260425_20260823.csv
004990,2026-08-21,22800.0,0.0022,-0.0298,-0.0236,23180.0,23080.0,0.7508,0.0221,1,neutral,pykrx,data/raw/price_004990_20260425_20260823.csv
001630,2026-08-21,38650.0,-0.009,-0.0313,-0.0115,39530.0,39282.5,0.6317,0.0163,1,neutral,pykrx,data/raw/price_001630_20260425_20260823.csv
024720,2026-08-21,9990.0,-0.0282,-0.0348,0.143,9998.0,9520.0,0.3103,0.0319,1,neutral,pykrx,data/raw/price_024720_20260425_20260823.csv
003070,2026-08-21,9700.0,-0.0271,-0.0377,0.0778,9948.0,9190.0,0.2426,0.0395,1,neutral,pykrx,data/raw/price_003070_20260425_20260823.csv
018260,2026-08-21,228000.0,-0.0215,-0.038,0.0459,231800.0,221375.0,0.6156,0.0414,1,neutral,pykrx,data/raw/price_018260_20260425_20260823.csv
066430,2026-08-21,2105.0,-0.0539,-0.0388,-0.041,2291.0,2141.05,0.2516,0.0664,1,neutral,pykrx,data/raw/price_066430_20260425_20260823.csv
065770,2026-08-21,1561.0,0.0052,-0.0406,-0.047,1564.0,1542.35,0.3904,0.0498,1,neutral,pykrx,data/raw/price_065770_20260425_20260823.csv
039200,2026-08-21,36700.0,-0.0553,-0.0418,0.1763,37530.0,34500.0,0.6933,0.0462,1,neutral,pykrx,data/raw/price_039200_20260425_20260823.csv
001260,2026-08-21,7650.0,-0.0461,-0.0426,0.0119,7858.0,7551.5,0.4475,0.0367,1,neutral,pykrx,data/raw/price_001260_20260425_20260823.csv
004140,2026-08-21,1785.0,-0.0367,-0.0449,-0.0495,1851.8,1823.25,1.4005,0.0259,1,neutral,pykrx,data/raw/price_004140_20260425_20260823.csv
001340,2026-08-21,4860.0,-0.0319,-0.0452,-0.0526,5005.0,4891.75,0.94,0.034,1,neutral,pykrx,data/raw/price_001340_20260425_20260823.csv
191410,2026-08-21,1287.0,-0.0741,-0.0453,0.0963,1363.8,1334.0,1.4738,0.0438,1,neutral,pykrx,data/raw/price_191410_20260425_20260823.csv
330730,2026-08-21,4895.0,0.0,-0.0458,0.0504,4904.0,4756.75,0.5427,0.0312,1,neutral,pykrx,data/raw/price_330730_20260425_20260823.csv
007570,2026-08-21,8300.0,-0.006,-0.046,0.0209,8484.0,8480.5,1.1,0.0201,1,neutral,pykrx,data/raw/price_007570_20260425_20260823.csv
028100,2026-08-21,17180.0,-0.0188,-0.0466,0.0901,17496.0,17428.5,0.4947,0.0158,1,neutral,pykrx,data/raw/price_028100_20260425_20260823.csv
010060,2026-08-21,265000.0,-0.0862,-0.0468,0.0729,276800.0,241835.0,0.6168,0.081,1,neutral,pykrx,data/raw/price_010060_20260425_20260823.csv
203650,2026-08-21,2030.0,-0.0402,-0.0469,0.0741,2081.2,1936.65,0.4089,0.0513,1,neutral,pykrx,data/raw/price_203650_20260425_20260823.csv
141000,2026-08-21,8500.0,-0.0116,-0.0503,0.0253,8698.0,8334.5,1.4468,0.0447,1,neutral,pykrx,data/raw/price_141000_20260425_20260823.csv
012630,2026-08-21,21150.0,-0.007,-0.0516,-0.0844,21720.0,21469.0,0.3997,0.0396,1,neutral,pykrx,data/raw/price_012630_20260425_20260823.csv
144510,2026-08-21,13720.0,-0.0479,-0.0518,0.0269,14034.0,13987.0,1.0873,0.0337,1,neutral,pykrx,data/raw/price_144510_20260425_20260823.csv
000500,2026-08-21,158200.0,-0.0406,-0.0527,-0.271,162100.0,154225.0,0.4489,0.0985,1,neutral,pykrx,data/raw/price_000500_20260425_20260823.csv
040910,2026-08-21,4405.0,-0.0382,-0.0527,0.0823,4545.0,4244.25,0.315,0.0309,1,neutral,pykrx,data/raw/price_040910_20260425_20260823.csv
033530,2026-08-21,6700.0,0.0015,-0.055,0.0551,6872.0,6587.5,0.7207,0.0359,1,neutral,pykrx,data/raw/price_033530_20260425_20260823.csv
007980,2026-08-21,1773.0,-0.0011,-0.0559,0.0362,1832.6,1751.7,0.5949,0.0234,1,neutral,pykrx,data/raw/price_007980_20260425_20260823.csv
189330,2026-08-21,16600.0,-0.0869,-0.0574,0.5977,17384.0,12932.0,0.6995,0.0988,1,neutral,pykrx,data/raw/price_189330_20260425_20260823.csv
010960,2026-08-21,3080.0,-0.0112,-0.0595,-0.036,3165.0,3089.0,0.648,0.0261,1,neutral,pykrx,data/raw/price_010960_20260425_20260823.csv
229000,2026-08-21,1728.0,-0.0199,-0.0609,0.0354,1771.0,1665.85,0.5382,0.042,1,neutral,pykrx,data/raw/price_229000_20260425_20260823.csv
049950,2026-08-21,11060.0,-0.0116,-0.0611,0.1005,11418.0,10208.5,0.4147,0.0523,1,neutral,pykrx,data/raw/price_049950_20260425_20260823.csv
