stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
176750,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,38.58,38.58,38.58,41.5,41.5,0,43.25,-2.0,2,4.67,0.0,0.0,0.0,0.0,0,0,38.58,v2_conservative_ranker,39.82,-3.0,1,11.16,0.0,0.0,0.0,48.98,48.98,v3_stability_ranker,neutral,5980.0,-0.0099,-0.0523,0.0993,6120.0,6410.5,0.2761,0.0389,pykrx,,,,,,,,,data/raw/price_176750_20260430_20260828.csv,268,False,Broad evaluation pool candidate,177,False,Broad evaluation pool candidate
034730,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,38.51,38.51,38.51,48.5,48.5,0,46.04,-2.0,2,7.38,0.0,0.15,0.0,0.0,0,0,38.51,v2_conservative_ranker,39.68,-3.0,1,7.78,0.0,2.64,0.0,42.81,42.81,v3_stability_ranker,neutral,536000.0,-0.036,-0.0853,0.1441,550200.0,547150.0,0.662,0.0615,pykrx,,,,,,,,,data/raw/price_034730_20260430_20260828.csv,269,False,Broad evaluation pool candidate,217,False,Broad evaluation pool candidate
008470,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,38.24,38.24,38.24,41.25,41.25,0,42.69,-2.0,2,4.45,0.0,0.0,0.0,0.0,0,0,38.24,v2_conservative_ranker,38.0,-3.0,1,11.43,0.0,0.0,0.0,47.44,47.44,v3_stability_ranker,neutral,1703.0,0.0059,-0.0156,-0.0213,1700.2,1890.4,0.5981,0.0371,pykrx,,,,,,,,,data/raw/price_008470_20260430_20260828.csv,270,False,Broad evaluation pool candidate,189,False,Broad evaluation pool candidate
196450,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,38.14,38.14,38.14,38.28,38.28,0,45.0,0.0,0,6.86,0.0,0.0,0.0,0.0,0,0,38.14,v2_conservative_ranker,38.0,-5.0,0,8.42,0.0,1.95,0.0,39.47,39.47,v3_stability_ranker,neutral,790.0,0.0,0.0,0.0,790.0,862.85,0.0,0.0572,pykrx,,,,,,,,,data/raw/price_196450_20260430_20260828.csv,271,False,Broad evaluation pool candidate,235,False,Broad evaluation pool candidate
322780,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,37.94,37.94,37.94,39.93,39.93,0,38.37,0.0,2,2.44,0.0,0.0,0.0,0.0,0,0,37.94,v2_conservative_ranker,33.88,2.0,1,13.96,0.0,0.0,0.0,50.84,50.84,v3_stability_ranker,neutral,1954.0,0.0083,-0.0515,-0.0422,1977.2,1997.15,0.8693,0.0203,pykrx,,,,,,,,,data/raw/price_322780_20260430_20260828.csv,272,False,Broad evaluation pool candidate,146,False,Broad evaluation pool candidate
263800,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,37.89,37.89,37.89,41.23,41.23,0,43.55,-2.0,2,5.66,0.0,0.0,0.0,0.0,0,0,37.89,v2_conservative_ranker,39.24,-3.0,1,9.92,0.0,0.35,0.0,46.81,46.81,v3_stability_ranker,neutral,4825.0,-0.0113,-0.0595,0.1287,4912.0,5214.0,0.2436,0.0472,pykrx,,,,,,,,,data/raw/price_263800_20260430_20260828.csv,273,False,Broad evaluation pool candidate,195,False,Broad evaluation pool candidate
060900,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,37.83,37.83,37.83,36.94,36.94,0,42.05,-2.0,2,4.22,0.0,0.0,0.0,0.0,0,0,37.83,v2_conservative_ranker,35.73,-3.0,1,11.72,0.0,0.0,0.0,45.45,45.45,v3_stability_ranker,neutral,3760.0,0.0,-0.0118,-0.0505,3735.0,4040.25,0.0283,0.0352,pykrx,,,,,,,,,data/raw/price_060900_20260430_20260828.csv,274,False,Broad evaluation pool candidate,201,False,Broad evaluation pool candidate
296640,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,37.62,37.62,37.62,58.26,58.26,0,54.69,-2.0,2,7.15,9.92,0.0,0.0,0.0,0,0,37.62,v2_conservative_ranker,32.5,-3.0,1,5.06,15.27,2.34,0.0,17.95,17.95,v3_stability_ranker,neutral,6330.0,-0.0047,-0.0031,0.5364,6326.0,5355.25,0.4218,0.0596,pykrx,,,,,,,,,data/raw/price_296640_20260430_20260828.csv,275,False,Broad evaluation pool candidate,289,False,Broad evaluation pool candidate
106240,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,36.54,36.54,36.54,39.86,39.86,0,41.32,-2.0,2,4.78,0.0,0.0,0.0,0.0,0,0,36.54,v2_conservative_ranker,35.01,-3.0,1,11.03,0.0,0.0,0.0,44.04,44.04,v3_stability_ranker,neutral,1184.0,0.0051,-0.0374,0.0017,1197.0,1247.4,0.5821,0.0398,pykrx,,,,,,,,,data/raw/price_106240_20260430_20260828.csv,276,False,Broad evaluation pool candidate,213,False,Broad evaluation pool candidate
457600,2026-08-28,2026-08-28,2026-08-28,2026-08-28,AVOID,negative,36.34,36.34,36.34,68.35,68.35,0,62.05,-2.0,2,10.0,12.43,3.28,0.0,0.0,0,0,36.34,v2_conservative_ranker,43.0,-3.0,1,2.0,18.83,7.65,0.0,16.52,16.52,v3_stability_ranker,price_momentum,5060.0,0.01,0.0305,0.531,4529.0,4134.5,0.5506,0.0928,pykrx,,,,,,,,,data/raw/price_457600_20260430_20260828.csv,277,False,Broad evaluation pool candidate,292,False,Broad evaluation pool candidate
